CATAGORIES,,FOOD PRODUCT,H.H. MEASUREMENTS,please enter,Enter here,serving size,PROTEIN gs.,FAT gs.,carbs,Kcal,FIBRE gs.,CALCIUMmg,IRON mg.
ALCOHOL,350,White wine,,ml,100,100,,,,67,,,
ALCOHOL,351,Wine (average),,ml,100,100,,,,88,,,
COCKTAILS,352,Bloody Mary,1 drink = 150 ml,No. of drinks,1,1,,,,116,,,
COCKTAILS,353,Cosmopolitan,1 drink = 90 ml,No. of drinks,1,1,,,,196,,,
COCKTAILS,354,Daiquiri,1 drink = 60 ml,No. of drinks,1,1,,,,111,,,
COCKTAILS,355,Dry Barandy- cognac,1 drink = 150 ml,No. of drinks,1,1,,,,375,,,
COCKTAILS,356,Long island Iced Tea,1 drink = 240 ml,No. of drinks,1,1,,,,440,,,
COCKTAILS,357,Margarita/Caprioska,1 drink = 150 ml,No. of drinks,1,1,,,,310,,,
COCKTAILS,358,Martini,1 drink = 150 ml,No. of drinks,1,1,,,,312,,,
COCKTAILS,359,Mojito,1 drink = 150 ml,No. of drinks,1,1,,,,102,,,
COCKTAILS,360,Triple sec,Alcohol = 8.5 gm in 30 ml,ml,60,60,0,0,22,206,,,
SOFT DRINKS,361,Coke,1 Bottle = 300 ml,No. of bottles,1,1,0,0,33,126,,,
SOFT DRINKS,362,Coke- diet,1 Bottle = 300 ml,No. of bottles,1,1,0,0,0,1,,,
SOFT DRINKS,363,Fanta/Mirinda,1 Bottle = 300 ml,No. of bottles,1,1,,,,141,,,
SOFT DRINKS,364,Limca,1 Bottle = 300 ml,No. of bottles,1,1,,,,150,,,
SOFT DRINKS,365,Pepsi,1 Bottle = 300 ml,No. of bottles,1,1,,,,131,,,
SOFT DRINKS,366,Pepsi- can,1 can = 330 ml,No. of cans,1,1,,,,144,,,
SOFT DRINKS,367,Sprite,1 Bottle = 300 ml,No. of bottles,1,1,,,35,144,,,
JUICES,368,Appy,1 tetra pack = 200 ml,No. of packs,1,1,1,0.4,33,134,,,
JUICES,369,Frooti,1 tetra pack = 200 ml,No. of packs,1,1,,,32,130,,,
JUICES,370,Real - Guava Juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,30,120,,,
JUICES,371,Real - Orange Juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,26,112,,,
JUICES,372,Real Activ- Orange carrot juice,1 tetra pack = 200 ml,No. of packs,1,1,0,0,24,96,,,
JUICES,373,Real Activ-Apple juice,1 tetra pack = 200 ml,No. of packs,1,1,1,0,22,88,,,
JUICES,374,Real cranberry juice,1 glass = 200 ml,No. of glass,1,200,0.2,0,30,120,,20,0.6
JUICES,375,Real-Mixed fruit juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,26,112,,,
JUICES,376,Real-Sweet lime juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,28,112,,,
JUICES,377,Tropicana juice- Apple,1 tetra pack = 200 ml,No. of packs,1,1,0.8,0,22,94,,,
JUICES,378,Tropicana juice- Guava Nectar,1 tetra pack = 200 ml,No. of packs,1,1,0,0,36,150,,,
JUICES,379,Tropicana Juice-Mix fruit,1 tetra pack = 200 ml,No. of packs,1,1,0,0,27.4,112,,,
JUICES,380,Tropicana Juice-Orange,1 tetra pack = 200 ml,No. of packs,1,1,2,0,22,100,,,
BEVERAGES,381,Amul kool lassi,1 tetra pack = 200 ml,No. of packs,1,1,4,4.2,26,158,,148,
BEVERAGES,382,Amul Lassi(sweet),1 tetra pack = 200 ml,No. of packs,1,1,4.5,6,20,150,,224,
BEVERAGES,383,Amul masti spiced buttermillkk,1 tetra pack = 200 ml,No. of packs,1,1,4,3.4,4,62,,150,
BEVERAGES,384,Buttermilk(salted),1 glass = 200 ml,No. of glass,1,1,3,4,3,60,,149,
BEVERAGES,385,Coconut water,1 glass = 200 ml,No. of glass,1,1,3,0,9,48,,48,
BEVERAGES,386,Gatorade,1 glass = 200 ml,No. of glass,1,1,0,0,7.2,48,,,
BEVERAGES,387,lipton ice tea green tea,1 pet bottle = 350 ml,No. of bottles,1,350,0,0,0,112,,,
BEVERAGES,388,Milkshake with fruit,1 glass = 200 ml,No. of glass,1,1,5,7,23,186,,224,
BEVERAGES,389,Red Bull,1 glass = 200 ml,No. of glass,1,200,0,0,22,90,,,
BEVERAGES,390,Sweetened lime water,1 glass = 200 ml,No. of glass,1,1,0,0,10,42,,223,
BEVERAGES,391,Tang orange,1 glass = 200 ml,No. of glass,1,1,0,0,23.5,97,,,
BEVERAGES,392,Tonic water,,ml,150,150,,,,54,,,
FAST FOOD,393,Domino's Cheese-burst pizza,6-inch,No. of pizza,1,1,21,22,35,422,,,
FAST FOOD,394,"Domino's Deluxe (12 "")",1 slice,No. of slice,1,1,7,12,16,196,,,
FAST FOOD,395,Domino's Garlic bread,1 slice,No. of slice,1,1,4.7,3.6,16,117,,,
FAST FOOD,396,Domino's Pan pizza,6-inch,No. of pizza,1,1,23,28,68,598,,,
FAST FOOD,397,"Domino's Thin-crust Margerita (10"")",1 slice,No. of slice,1,1,6,3,28,160,,,
FAST FOOD,398,KFC Popcorn Chicken,1 serving,no. of servings,1,1,22,26,18,400,,,
FAST FOOD,399,KFC Potato wedges,100 gms,gms,1,1,4,13,33,260,,,
FAST FOOD,400,KFC Zinger Burger,1,no. of burgers,1,1,24,18.5,41,446,,,
FAST FOOD,401,Maggi Masala noodles,1 medium pack = 80 gms,No. of packets,1,80,7.4,11.4,49.28,330,,,
FAST FOOD,402,Maggi Veg Multigrainz noodles,1 medium pack = 80 gms,No. of packets,1,80,7.6,11.1,51.2,336,3.8,99.2,
FAST FOOD,403,Maggi Vegetable atta noodles,1 medium pack = 80 gms,No. of packets,1,80,8.2,10.7,51.04,342,4.2,,
FAST FOOD,404,Mc Donald's French Fries,Regular,No. of regular packs,1,1,4.5,15.5,41,319,,,
FAST FOOD,405,Mc Spicy Chicken wrap,1,No. of wraps,1,1,22,23,48,488,,,
FAST FOOD,406,McAloo Tikki Burger,1,No. of burgers,1,1,8.2,13.6,46,337,,,
FAST FOOD,407,McChicken Burger,1,No. of burgers,1,1,15.3,21.4,41,416,,,
FAST FOOD,408,McChicken Nuggets,4 pcs,No. of pcs,1,1,2.7,3,3,49,,,
FAST FOOD,409,McSpicy Paneer Wrap,1,No. of wraps,1,1,26,47,53,740,,,
FAST FOOD,410,McVeggie Burger,1,No. of burgers,1,1,11.9,23.9,51,465,,,
