CATAGORIES,,FOOD PRODUCT,H.H. MEASUREMENTS               ,please enter,Enter here,serving size,PROTEIN gs.,FAT  gs.,carbs,Kcal,FIBRE gs.,CALCIUMmg,IRON mg.
BISCUITS,1,Bourbon,1 biscuit=10 gm,no. of biscuit,1,10.0,0.6,1.9,7,47,,,
,2,Cream crackers biscuits,1 biscuit=7.7 gm,no. of biscuit,1,7.7,0.8,1.2,5,35,,1.7,0.2
,3,Digestive Marie biscuits,1 biscuit=4.9 gm,no. of biscuit,1,4.9,0.4,0.5,4,21,0.2,0.7,0.1
,4,Good-day,1 biscuit=9 gm,no. of biscuit,1,9.0,0.7,2.1,6,44,,,
,5,Hide and seek,1 biscuit=4 gm,no. of biscuit,1,4.0,0.2,0.7,3,19,,,
,6,Marie biscuits,1 biscuit=5.6 gm,no. of biscuit,1,5.6,0.4,0.6,4,24,,,
,7,Mcvities hobnobs (oatmeal cookies),1 oatmeal cookie=9.3gm,no. of biscuit,1,9.3,0.6,1.6,7,44,,,
,8,Milano,,no. of biscuit,1,1.0,1.0,4.0,12,86,,,
,9,Nice,1 biscuit=6.6 gms,no. of biscuit,1,6.6,0.5,1.0,5,30,,,
,10,Brittania Nutrichoice 5 grain,1 biscuit=16 gm,no. of biscuit,1,16.0,1.2,3.1,11,75,0.6,,
,11,Nutrichoice Digestive,1 biscuit=8 gm,no. of biscuit,1,8.0,0.6,1.6,5,36,0.5,,
,12,Oreo,1 biscuit=11 gm,no. of biscuit,1,11.0,0.6,2.3,8,53,,,
,13,Parle-G,1 biscuit=4.4 gm,no. of biscuit,1,4.4,0.3,0.6,3,20,,,
,14,Pure Magic ,1 biscuit=10 gm,no. of biscuit,1,10.0,0.6,2.3,6,48,,,
,15,SELFCARE Bajra rings,,no. of rings,1,1.0,0.5,0.3,4,22,,,
,16,SELFCARE Oatmeal cookies,,no. of cookies,1,1.0,0.3,0.3,3,16,,,
,17,Sunfeast Marie light,1 biscuit=4 gm,no. of biscuit,1,4.0,1.0,0.5,3,18,0.1,,
,18,Vita Marie biscuit,1 biscuit=5 gm,no. of biscuit,1,5.0,0.4,0.6,4,22,,2.4,
,19,Vitamarie gold,1 biscuit=4 gm,no. of biscuit,1,4.0,0.3,0.5,3,18,,1.9,
CEREALS,20,Baby corn,,gms,100,100.0,2.5,0.4,2.7,24,2,,
,21,Bajra,2 rotis = 30 gm bajra flour,No. of rotis,2,30.0,3.5,1.5,20,108,0.4,12.6,2.4
,22,Brown bread pizza base thick,1 base = 100 gm,no. of base,1,100.0,8.1,2.7,58,288,,,
