CATAGORIES,FOOD PRODUCT,H.H. MEASUREMENTS               ,please enter,Enter here,serving size,PROTEIN gs.,FAT  gs.,carbs,Kcal,FIBRE gs.,CALCIUMmg,IRON mg.,
BISCUITS,Bourbon,1 biscuit=10 gm,no. of biscuit,1,10,0.6,1.9,7,47,,,,
,Cream crackers biscuits,1 biscuit=7.7 gm,no. of biscuit,1,7.7,0.8,1.2,5,35,,1.7,0.2,
,Digestive Marie biscuits,1 biscuit=4.9 gm,no. of biscuit,1,4.9,0.4,0.5,4,21,0.2,0.7,0.1,
,Good-day,1 biscuit=9 gm,no. of biscuit,1,9,0.7,2.1,6,44,,,,
,Hide and seek,1 biscuit=4 gm,no. of biscuit,1,4,0.2,0.7,3,19,,,,
,Marie biscuits,1 biscuit=5.6 gm,no. of biscuit,1,5.6,0.4,0.6,4,24,,,,
,Mcvities hobnobs (oatmeal cookies),1 oatmeal cookie=9.3gm,no. of biscuit,1,9.3,0.6,1.6,7,44,,,,
,Milano,,no. of biscuit,1,1,1,4,12,86,,,,
,Nice,1 biscuit=6.6 gms,no. of biscuit,1,6.6,0.5,1,5,30,,,,
,Brittania Nutrichoice 5 grain,1 biscuit=16 gm,no. of biscuit,1,16,1.2,3.1,11,75,0.6,,,
,Nutrichoice Digestive,1 biscuit=8 gm,no. of biscuit,1,8,0.6,1.6,5,36,0.5,,,
,Oreo,1 biscuit=11 gm,no. of biscuit,1,11,0.6,2.3,8,53,,,,
,Parle-G,1 biscuit=4.4 gm,no. of biscuit,1,4.4,0.3,0.6,3,20,,,,
,Pure Magic ,1 biscuit=10 gm,no. of biscuit,1,10,0.6,2.3,6,48,,,,
,SELFCARE Bajra rings,,no. of rings,1,1,0.5,0.3,4,22,,,,
,SELFCARE Oatmeal cookies,,no. of cookies,1,1,0.3,0.3,3,16,,,,
,Sunfeast Marie light,1 biscuit=4 gm,no. of biscuit,1,4,1,0.5,3,18,0.1,,,
,Vita Marie biscuit,1 biscuit=5 gm,no. of biscuit,1,5,0.4,0.6,4,22,,2.4,,
,Vitamarie gold,1 biscuit=4 gm,no. of biscuit,1,4,0.3,0.5,3,18,,1.9,,
CEREALS,Baby corn,,gms,100,100,2.5,0.4,2.7,24,2,,,
,Bajra,2 rotis = 30 gm bajra flour,No. of rotis,2,30,3.5,1.5,20,108,0.4,12.6,2.4,
,Brown bread pizza base thick,1 base = 100 gm,no. of base,1,100,8.1,2.7,58,288,,,,
,Bulgar wheat (daliya),1/4 cup raw = 40 gms =1 cup cooked,No. of cups cooked,1,40,3.3,0.6,31,142,0.7,14.8,2,
,Burger bun,1 bun = 80 gm,no. of buns,1,80,6.8,1.3,46,221,,,,
,Cannelloni (Barilla),,gms,100,100,11.5,1.5,72.7,355,,,,
,Croissants whole meal roll,1 roll/bun=40 gms,No. of rolls,1,1,5,3,24,55,,,,
,Haka Noodles,25 gms raw = 1/2 cup cooked,No. of cups cooked,1,50,5.9,0.1,41,187,1.1,,,
,Hot dog roll,1 roll=90 gm,gms,100,100,12,5,28,214,3,,,
,Jowar,2 rotis =30 gms,No. of rotis,2,30,3.1,0.6,22,105,0.5,7.5,1.2,
,Khakhras without ghee,,No. of khakhras,2,2,5,2,36,172,,,,
,Lasagne,,gms,100,100,14,3.5,68,360,,,,
,"Maize, tender",,gms,100,100,4.7,0.9,24.6,125,1.9,9,1.1,
,"Maize,dry",2 rotis =30 gms,No. of rotis,2,30,3.3,1.1,20,103,0.8,3,0.7,
,Melba toast,,No. of toast,1,1,0.6,0.2,4,20,,,,
,Oat bran (bagrrys),,gms,100,100,15.3,8.3,65.8,399,15.8,,5.4,
,Ragi,2 rotis =30 gms,No. of rotis,2,30,2.2,0.4,22,98,1.1,103.2,1.2,
,"Rice, cooked",1/2 cup cooked =25 gms raw = 92 gms cooked,No. of cups,0.5,25,1.9,0.3,4,87,0.2,2.5,0.8,
,"Rice, flakes(Poha)",1/2 cups cooked = 22  gms raw,No. of cups cooked,0.5,22,1.5,0.3,17,76,0.2,4.4,4.4,
,"Rice, puffed(Kurmura)",1 cup = 14 gms,No. of cups,1,14,1.1,0,10,46,0,3.2,0.9,
,Rusk (Anjali Mukherji),1 biscuit = 14.28 gms,No. of biscuit,1,14.3,1.42,1.42,10.42,60,0.71,,0.57,
,SELFCARE Baked puris,1 puri = 2 gms,No. of puris,1,2,0.3,0.1,2,8,0,,,
,SELFCARE Dal khakhras,,No. of khakhras,2,2,4,4,11,92,,,,
,SELFCARE Moth khakhras,,No. of khakhras,2,2,3,4,10,96,,,,
,Spaghetti,25 gms raw=3/4 th cup cooked (65 gms),No. of cups cooked,1,33.3,4.2,0.4,24,120,,,,
,Wheat bread,1 slice=25 gms,No. of slice,1,25,3,0.4,18,87,0.3,10.3,1.3,
,"Wheat, flour (refined) (maida)",,gms,25,25,2.75,0.225,18.475,87,0.075,5.75,0.675,
,"Wheat,chapattis","1 cup = 100 g makes 6 rotis 5""",No. of chapattis,1,17,2.1,0.3,12,58,0.5,58,0.8,
,"Wheat,flour(whole)",,gms,25,25,3.025,0.425,17.35,85,0.475,85.25,1.225,
,"Wheat,semolina(Soozee, rava)",,gms,25,25,2.6,0.2,18.7,87,0.05,4,0.4,
,White bread,1 slice = 20 gms,No. of slice,1,20,2.4,0.2,10,50,0.4,6.2,0,
,white bread pizza base thick,1 base = 100 gm,no. of base,1,100,8.5,1.6,57,276,,,,
,Whole wheat hot dog roll,,gms,100,100,12,5,68,360,2,,,
,Whole wheat lavash,,gms,,100,12.5,13.5,69,448,5.2,,,
,Wibbs Browny whole wheat bread,1 slice = 25 gms,no. of slice,1,25,3.2,0.2,12,62,2,7.4,0.3,
Breakfast cereals/,Cheerios,,No. of cups,0.75,0.8,,1.5,,83,,,,
Nutrition bars,Kelloggs all bran,3/4 cup =1 srvg =25 gms raw,No. of cups,0.75,25,3.5,0.9,12,84,,,,
,Kellogg's Frosties,3/4 cup =1 srvg =25 gms raw,No. of cups,0.75,25,2,3,18,103,0.3,135.8,2.3,
,Kellogs chocos,3/4 cup =1 srvg =25 gms raw,No. of cups,0.75,25,2.3,0.1,21,95,,,,
,Kellogs Cornflakes,3/4 cup =1 srvg =25 gms raw,No. of cups,0.75,25,2,0.1,21,93,0.6,,,
,Kellogs Special K ,3/4 cup =1 srvg =25 gms raw,No. of cups,0.75,25,2,0.3,21,89,,,,
,Kellogs wheatflakes,3/4 cup =1 srvg =25 gms raw,No. of cups,0.75,25,2.5,0.3,20,94,,,,
,Muesli (baggry's),3/4 cup =1 srvg =25 gms raw,gms,0.75,25,2.3,1,15,83,2.8,,,
,Max Protein choco slim bar (RiteBite),1 bar = 67 gm,No. of bars,1,1,20,9.8,14,258,,,,
,Max Protein honey lemon bar (RiteBite),1 bar = 70 gm,No. of bars,1,1,20,10.5,24,281,,,,
,Nature Valley Granola bar,1 bar = 30 gms,No. of bars,1,1,1,2,26,123,,,,
,Rice crispies,3/4 cup =1 srvg =25 gms raw,No. of cups,0.75,25,1.5,0.3,22,95,,,,
,Weetabix Wholegrain cereal,3/4 cup =1 srvg =25 gms raw,No. of cups,0.75,25,2.7,,17,85,,,,
,White Oats (Harvest Crunch),3/4 cup =1 srvg =25 gms raw,No. of cups cooked,0.75,25,2.8,2,15,90,,,,
,Work-out Gymnasium bar (RiteBite),1 bar = 50 gm,no. of bars,1,1,10,7.6,24,210,4,120,,
PULSES,Bengal Gram(Kabuli Chana),1/4 cup raw = 35 gms,gms (raw wt),25,25,4.3,1.3,15,90,1,50.5,1.2,
,"Bengal Gram,dhal",,gms (raw wt),25,25,5.2,1.4,15,93,0.3,14,1.3,
,"Bengal Gram,roasted",,gms (raw wt),25,25,6,1.3,15,92,0.3,14.5,2.4,
,"Black Gram,dhal(Urad)",,gms (raw wt),25,25,6,0.4,15,87,0.2,38.5,1,
,Canned beans (red kidney),,gms (raw wt),100,100,6,0,16,90,3,29,2,
,Cow Pea(Chavli),,gms (raw wt),25,25,6,0.3,14,81,1,19.3,2.2,
,"Green Gram,dhal(Moong)",3/4 th cup cooked dal=25 gms raw dal,gms (raw wt),25,25,6.1,0.3,15,87,0.2,18.8,1,
,"Green Gram,whole",,gms (raw wt),25,25,6,0.3,14,84,1,31,1.1,
,Heinz baked beans,1 can=415 gm/1 cup = 200 gms,No. of cups,0.5,100,4.7,0.2,13,79,3.7,,3,
,Lentil (Masoor),,gms (raw wt),25,25,6.3,0.2,15,86,0.2,17.3,1.9,
,Lima Beans,1 cup=190 g,gms (raw wt),25,25,2,0,6,34,,7,1,
,Moth Beans,,gms (raw wt),25,25,5.9,0.3,14,83,1.1,50.5,2.4,
,Peas dry,,gms (raw wt),25,25,4.9,0.3,14,79,1.1,18.8,1.8,
,Peas green,1 cup = 100 gms,No. of cups,75,75,5.4,0.1,12,70,3,15,1.1,
,Rajmah,,gms (raw wt),25,25,5.7,0.3,15,87,1.2,65,1.3,
,"Redgram,dhal(Toor)",3/4 th cup cooked dal=25 gms raw dal,gms (raw wt),25,25,5.6,0.4,14,84,0.4,18.3,0.7,
,Sil Baked beans,1 can = 450 gm/1 cup = 200 gms,No. of cups,0.5,100,8,0,20,112,,,,
,Soyabean,,gms (raw wt),25,25,11,5,5,108,1,60,3,
VEGETABLES,Amaranth (Chowli),,gms (raw wt),25,25,1,0,2,11,0,99,1,
