CATAGORIES,FOOD PRODUCT,H.H. MEASUREMENTS               ,please enter,Enter here,serving size,PROTEIN gs.,FAT  gs.,carbs,Kcal,FIBRE gs.,CALCIUMmg,IRON mg.,
BISCUITS,Bourbon,1 biscuit=10 gm,no. of biscuit,1,10,0.6,1.9,7,47,,,,
BISCUITS,Cream crackers biscuits,1 biscuit=7.7 gm,no. of biscuit,1,7.7,0.8,1.2,5,35,,1.7,0.2,
BISCUITS,Digestive Marie biscuits,1 biscuit=4.9 gm,no. of biscuit,1,4.9,0.4,0.5,4,21,0.2,0.7,0.1,
BISCUITS,Good-day,1 biscuit=9 gm,no. of biscuit,1,9,0.7,2.1,6,44,,,,
BISCUITS,Hide and seek,1 biscuit=4 gm,no. of biscuit,1,4,0.2,0.7,3,19,,,,
BISCUITS,Marie biscuits,1 biscuit=5.6 gm,no. of biscuit,1,5.6,0.4,0.6,4,24,,,,
BISCUITS,Mcvities hobnobs (oatmeal cookies),1 oatmeal cookie=9.3gm,no. of biscuit,1,9.3,0.6,1.6,7,44,,,,
BISCUITS,Milano,,no. of biscuit,1,1,1,4,12,86,,,,
BISCUITS,Nice,1 biscuit=6.6 gms,no. of biscuit,1,6.6,0.5,1,5,30,,,,
BISCUITS,Brittania Nutrichoice 5 grain,1 biscuit=16 gm,no. of biscuit,1,16,1.2,3.1,11,75,0.6,,,
BISCUITS,Nutrichoice Digestive,1 biscuit=8 gm,no. of biscuit,1,8,0.6,1.6,5,36,0.5,,,
BISCUITS,Oreo,1 biscuit=11 gm,no. of biscuit,1,11,0.6,2.3,8,53,,,,
BISCUITS,Parle-G,1 biscuit=4.4 gm,no. of biscuit,1,4.4,0.3,0.6,3,20,,,,
BISCUITS,Pure Magic ,1 biscuit=10 gm,no. of biscuit,1,10,0.6,2.3,6,48,,,,
BISCUITS,SELFCARE Bajra rings,,no. of rings,1,1,0.5,0.3,4,22,,,,
BISCUITS,SELFCARE Oatmeal cookies,,no. of cookies,1,1,0.3,0.3,3,16,,,,
BISCUITS,Sunfeast Marie light,1 biscuit=4 gm,no. of biscuit,1,4,1,0.5,3,18,0.1,,,
BISCUITS,Vita Marie biscuit,1 biscuit=5 gm,no. of biscuit,1,5,0.4,0.6,4,22,,2.4,,
BISCUITS,Vitamarie gold,1 biscuit=4 gm,no. of biscuit,1,4,0.3,0.5,3,18,,1.9,,
CEREALS,Baby corn,,gms,100,100,2.5,0.4,2.7,24,2,,,
CEREALS,Bajra,2 rotis = 30 gm bajra flour,No. of rotis,2,30,3.5,1.5,20,108,0.4,12.6,2.4,
CEREALS,Brown bread pizza base thick,1 base = 100 gm,no. of base,1,100,8.1,2.7,58,288,,,,
CEREALS,Bulgar wheat (daliya),1/4 cup raw = 40 gms =1 cup cooked,No. of cups cooked,1,40,3.3,0.6,31,142,0.7,14.8,2,
CEREALS,Burger bun,1 bun = 80 gm,no. of buns,1,80,6.8,1.3,46,221,,,,
CEREALS,Cannelloni (Barilla),,gms,100,100,11.5,1.5,72.7,355,,,,
CEREALS,Croissants whole meal roll,1 roll/bun=40 gms,No. of rolls,1,1,5,3,24,55,,,,
CEREALS,Haka Noodles,25 gms raw = 1/2 cup cooked,No. of cups cooked,1,50,5.9,0.1,41,187,1.1,,,
CEREALS,Hot dog roll,1 roll=90 gm,gms,100,100,12,5,28,214,3,,,
CEREALS,Jowar,2 rotis =30 gms,No. of rotis,2,30,3.1,0.6,22,105,0.5,7.5,1.2,
CEREALS,Khakhras without ghee,,No. of khakhras,2,2,5,2,36,172,,,,
CEREALS,Lasagne,,gms,100,100,14,3.5,68,360,,,,
CEREALS,"Maize, tender",,gms,100,100,4.7,0.9,24.6,125,1.9,9,1.1,
CEREALS,"Maize,dry",2 rotis =30 gms,No. of rotis,2,30,3.3,1.1,20,103,0.8,3,0.7,
CEREALS,Melba toast,,No. of toast,1,1,0.6,0.2,4,20,,,,
CEREALS,Oat bran (bagrrys),,gms,100,100,15.3,8.3,65.8,399,15.8,,5.4,
CEREALS,Ragi,2 rotis =30 gms,No. of rotis,2,30,2.2,0.4,22,98,1.1,103.2,1.2,
CEREALS,"Rice, cooked",1/2 cup cooked =25 gms raw = 92 gms cooked,No. of cups,0.5,25,1.9,0.3,4,87,0.2,2.5,0.8,
CEREALS,"Rice, flakes(Poha)",1/2 cups cooked = 22  gms raw,No. of cups cooked,0.5,22,1.5,0.3,17,76,0.2,4.4,4.4,
CEREALS,"Rice, puffed(Kurmura)",1 cup = 14 gms,No. of cups,1,14,1.1,0,10,46,0,3.2,0.9,
CEREALS,Rusk (Anjali Mukherji),1 biscuit = 14.28 gms,No. of biscuit,1,14.3,1.42,1.42,10.42,60,0.71,,0.57,
CEREALS,SELFCARE Baked puris,1 puri = 2 gms,No. of puris,1,2,0.3,0.1,2,8,0,,,
CEREALS,SELFCARE Dal khakhras,,No. of khakhras,2,2,4,4,11,92,,,,
CEREALS,SELFCARE Moth khakhras,,No. of khakhras,2,2,3,4,10,96,,,,
CEREALS,Spaghetti,25 gms raw=3/4 th cup cooked (65 gms),No. of cups cooked,1,33.3,4.2,0.4,24,120,,,,
CEREALS,Wheat bread,1 slice=25 gms,No. of slice,1,25,3,0.4,18,87,0.3,10.3,1.3,
CEREALS,"Wheat, flour (refined) (maida)",,gms,25,25,2.75,0.225,18.475,87,0.075,5.75,0.675,
CEREALS,"Wheat,chapattis","1 cup = 100 g makes 6 rotis 5""",No. of chapattis,1,17,2.1,0.3,12,58,0.5,58,0.8,
CEREALS,"Wheat,flour(whole)",,gms,25,25,3.025,0.425,17.35,85,0.475,85.25,1.225,
